mmsi,imo
565332000,9754800
565386000,9419670
565679000,9438274
565738584,8717740
565772240,9297711
565862392,9463528
565975000,9263203
565999048,9531387
566213208,9624287
566662000,9603439
566664020,9794783
566959000,9597563
567050600,8720498
567265204,9838242
570201304,9589592
574001370,9352664
574182172,9251236
574492000,9467512
577270000,9570474
594712128,9559406
636013940,9417763
636016413,9539523
636016580,9751016
636017751,9483217
636017900,9748849
636018663,9780536
636019101,9114505
636019175,9771028
636019365,9168491
667885700,9786889
676425003,9760225
838756744,9606974
919540920,9773038
8339688,9175731
206587792,9427263
218474000,9501370
229673000,9636797
241142000,9594705
241635000,9288875
248108000,9773478
248647000,9550668
249639000,9070632
249889000,9787986
249984000,9765017
269108000,9583897
300042184,9561239
311000475,9705641
319079100,9724439
319130700,9818216
341768000,7821829
351812000,9339923
351988000,9582544
352894000,9278612
353136000,9811000
353234345,9248710
353840000,9565601
357384969,9548081
357842498,9815264
370122116,9830484
370299000,9477919
370531000,9288394
370783000,9402990
370896000,9512692
371005000,9310707
371655000,9692818
371836000,9333852
372773000,9494228
372830064,9382592
372941000,9298258
373804000,9643960
374724000,9749312
416048000,9861768
431981000,9805453
436661729,9253947
459856633,9305635
477173100,9482483
477201800,9342097
477243300,9458391
477424200,9591430
477802900,9456678
524625192,9461427
525012128,9529645
525500645,9515670
528053112,9571387
533157984,8858946
538001656,9230880
538002579,9312913
538002778,9323390
538004655,9584891
538005177,9686754
538005853,9336892
538006464,9412725
538007288,9724764
538007613,9397872
538007733,9743162
538008760,9376749
548978000,9855501
562142896,9130391
562534696,9513347
563006480,9683609
563016936,9673939
563045400,9438262
563062620,9808948
563068618,9239886
563070600,9791183
563087520,9535412
563221000,9675119
563336096,9205093
563479000,9665669
563813000,9339882
564975984,9302140
565223000,9340465
565311000,9399167
565318832,9711690
565733016,9204025
566010022,9392224
566105000,9276298
566240976,9351842
566666019,9460306
569951144,9267156
636013655,9305099
636014875,9260809
636014947,9487275
636015481,9626560
636015767,9337406
636016856,9306287
636016891,9670743
636017054,9620164
636017435,9755957
636018137,9498353
636019107,9288899
636019141,9505821
636019142,9505819
636024171,9724702
636091714,9430789
671035100,7908732
768427552,9574523
812381720,9370630
0,7351977
5635905,9606326
52064524,9155016
205073000,9358292
205793000,9440837
218284000,9343730
219632000,9632167
223006000,9525900
229014000,9607502
229571000,9328572
235050756,9795907
235113773,9724726
241491000,9779381
241515000,9731157
245309000,9358943
246472000,9187007
247094800,9239783
248330000,9395317
249003000,9717656
249279000,9693082
311000747,9827695
311906000,9256602
351021000,9501239
351061000,9803388
352492000,9300427
353292000,9215218
353886000,9074822
354712000,9290282
354820000,9519195
354963000,9109902
355882000,9563392
357225000,9245938
371410000,9643958
372465000,9562829
372598000,9473523
373140000,9598725
373271000,9624287
373381000,9105293
373671000,9590606
374288000,9539327
396256256,9511351
429656528,9675121
432876000,9621259
441562000,9256999
475148256,9301263
477050700,9609457
477067600,9327138
477157800,9783502
477527900,9727651
477620900,9743722
477743200,9336878
477817600,9615808
512327112,9721401
518100096,9134359
519194656,9754800
525011114,8514019
525015776,9546564
525019643,7397024
525020155,9659529
525025091,9128099
525420008,9704465
533130482,9072460
533130813,9101106
535883960,9710921
538002751,9300520
538003558,9422079
538004707,9513854
538005255,9359466
538005546,9346134
538005692,9709245
538006383,9718686
538006830,9271626
538006967,9713947
538007895,9828869
538007934,9242120
538293176,9572977
538857528,9551442
540464040,9284386
542218096,9667277
548767000,9340489
553704088,9717383
562243438,9535058
