mmsi,imo
219863000,9778832
220206000,9260433
228343900,9299642
240836000,9412098
241649000,9819844
243733592,9514286
244457000,9367073
249290000,9421831
249444280,9621596
249558000,9728928
256300000,9436355
256463000,9418822
311000318,9733117
351754000,9636462
352507000,9534640
352690000,9301055
353293960,9430612
354625000,9404651
354733000,9181819
355297000,9073701
355410000,9414149
355528000,9799769
355665000,9835874
355777000,9549360
356178000,9783930
357843000,9881067
359013104,9547544
367665030,9681821
369527000,9158288
370694000,9407536
370785000,9423504
372153000,9369174
372493000,9434668
372514000,9398163
373664000,9459060
374218000,9727467
374464000,9702089
374507000,9516698
377444320,9741607
405000240,9793820
414326000,9783368
431305000,9158276
431868000,9293662
477006500,9684641
477045100,9778480
477141800,9305116
477166300,9778129
477178800,9532616
477181600,9689990
477188500,9619737
477194500,9829772
477230700,9272981
477307700,9722895
477390300,9630406
477441900,9458456
477510800,9746035
477692400,9705134
477899200,9613068
525300858,9456484
526779760,9547544
532738552,9484443
533170319,9101651
533702652,9817341
536377872,9648398
537841652,9808376
538002054,9411965
538005957,9257981
538006157,9735945
538006320,9739329
538006575,9273387
538007251,9756626
538008297,9382073
538008580,9877573
539793176,9257230
562634744,9672973
563001216,9058244
563015600,9498054
563027858,9497426
563029944,9389382
563034411,9724702
563036330,9802877
563037440,9808730
563068100,9838230
563070268,9868417
563169148,9416800
563169366,9732333
563171445,9176981
563173829,9813096
563176653,9714513
563388984,9460540
563438000,9107966
564469736,9449833
564780000,8814122
565453000,9288590
565544848,9707352
565678992,9399014
565757504,9467457
565864000,9198082
566133970,9708849
566414000,9645413
566975000,9677753
567228484,9315678
567337728,9255684
576976000,9300647
636010835,9156553
636011902,9286889
636013757,9331062
636013974,9394832
636014704,9592721
636015415,9545209
636017404,9164263
636017831,8919051
636017837,9266267
636019798,9302023
710033240,9547685
5217668,9830484
5674568,9678965
106240317,9275452
107050950,9774056
219673000,9745524
219683000,9682265
229806000,9118329
248916000,9312822
248966000,9817884
249515000,9728916
249811000,9776731
252655224,9748318
255806053,9259379
255806093,9315812
256883008,9825087
256968000,9722663
258669000,9378163
273414540,9327322
304577000,9266554
310479000,9262235
311000639,9766322
311000686,9819870
312187760,8814110
352190000,9321160
352879496,9668855
352946000,9652375
353058000,9254276
353550928,9292979
354363000,9446489
355645000,9904390
355662000,9552719
356316000,9166869
371206000,9803106
371294000,9433808
372283000,9303223
373235000,9254733
373796000,9682899
403584729,9399272
422039300,9283019
431792000,9741425
440144000,9300788
440253000,9318515
477006100,9723514
477096700,9803118
477257700,9657404
477454100,9684665
477522000,9312339
477560600,9123972
477739600,9584205
477847200,9576272
525013037,9238222
525106988,9802578
525276154,9568316
525293364,9809083
525500853,9900722
533005300,9279288
534793800,9260445
538002510,9296793
538004415,9469900
538004995,9641807
538005440,9691345
538005605,9669342
538005608,9704465
538005846,9732333
538006503,9718791
538006892,9731743
538006996,9427067
538007000,9169691
538007147,9503275
540101036,1022055
542476110,9562788
548735000,9334997
562413832,9400837
562568200,9606302
563006424,9386079
563024704,9771664
563034280,9692014
563036624,9596571
563065100,9788485
563069180,8819976
563073220,9705689
563088880,9007386
563100600,9839739
563103400,9398395
563106096,9189172
563111712,9684990
563177238,9732333
563797993,9248710
563945000,9736066
563971000,9368716
564324000,9153068
564522984,9511909
564888004,9472141
565101484,9641003
565602987,9339882
565919028,9435791
565952992,9724582
566000056,9820908
566011200,9536519
566102996,9756729
566162008,9310824
566507978,9321641
566541000,9659256
566611000,9651125
566951000,9597501
570372808,9839480
574333000,8982888
636011186,9200952
636014169,9397602
636014989,9445631
636015366,9274305
636015950,9625542
636015977,9251822
636017726,9755191
636017930,9396725
636018040,9330549
636019186,9403102
636020305,9508392
819170440,9290220
106635684,9055553
159531056,7360083
211307550,9269271
212785000,9163269
215555000,9276016
220220744,9260445
248555000,9701279
249343000,9477490
249547000,9389083
258011000,9593892
296275081,9339648
298162880,9545900
311377870,9568304
325616000,7106059
340947800,9555503
353318700,9797735
353874000,9456616
353932000,9437282
357383000,9420758
357757000,9251951
371605000,9691486
372315080,9882396
372653000,9700445
372825000,9710787
373215000,9693549
373563000,9610212
373599000,9590589
373946000,9599121
374211000,9863821
374466000,9460588
412549166,9899258
416428000,9301263
422032300,9346524
432805000,9568809
440761000,9375501
441552000,9326768
444421268,9416824
457301032,9511909
477185400,9428310
477345800,9834301
477477100,9728344
477550600,9508861
477612200,9445514
477813500,9567489
477858900,9333278
491708504,9438274
525109002,9827956
525112003,9302839
533170153,9548469
538001648,9242376
538003783,9461257
538004316,9524449
538005349,9607095
538006058,9663116
538006099,9717682
538006442,9765718
538006744,9718428
538007022,9331866
538008016,9242118
538008568,9403205
538009036,9863417
562297632,9477555
562894680,9748710
563010064,9623269
563011512,9735256
563014800,9417127
563025998,9568304
563039672,9451642
563068000,9447768
563170697,9381328
563171669,9732321
563173228,9290488
563281000,9275452
564266000,9659854
564742997,9732321
564755284,9189184
565041000,9375226
565337684,9111436
565552016,9437880
565895584,9351608
565963000,9355410
565996000,9471434
566683025,9572305
566786000,9250218
566956000,9597537
574001740,9660736
635367243,9244867
636014300,9450703
636016372,9491379
636016970,9239886
636018744,9470973
636019296,9821691
636019657,9426142
969490478,9819870
989448388,9350654
2066224,9130391
5512808,9285615
53592396,9448853
92507435,9724702
229550000,9632832
229664000,9474644
235089333,8420804
241237000,9593218
241390000,9527295
244810418,9671436
246524000,9320506
248081896,9662667
248485000,9834882
255806321,9776286
256137000,9528380
272836527,9631814
305235000,9550345
305245000,9435117
306921295,9178393
308921000,9311866
309362000,9324722
309666000,7623928
351703818,9146572
353421000,9496977
353556000,9400136
354801000,9303649
356426016,9588689
357499000,9304382
370253000,9283631
370853000,9325300
371718000,9881495
372995000,9531715
373740000,9607069
374907000,9544097
384134812,9153874
403502000,9387683
413121000,9294068
416240600,8676623
416521000,7302031
419000182,9478195
431837000,9878656
432784000,9343388
441253000,9412153
457900487,8700175
477289700,9723540
477347900,9712761
477397200,9603491
477539900,9832250
477752200,9591519
477814300,9510345
524435504,7360083
525003282,9768447
525007163,9671890
525010152,9375501
525019274,9672363
525100468,9499022
525100933,8844361
525429332,9732319
527722584,9708825
533130642,9363742
533131041,9209958
533973768,9445007
534703775,9640803
538003518,9408267
538006410,9703576
538008102,9258870
538009038,9310642
538009081,9512630
562361536,9372016
562490320,9563366
563009190,9386108
563021104,9649067
563021106,9172399
563028016,9325893
563055528,9635078
563064400,9717175
563071828,9732319
563078700,9838826
563108400,9863223
563137568,9307437
563343000,9398307
563523408,9289726
563887000,9175602
564199720,9511870
564434000,9058919
564496000,9059133
564711520,9389899
565084984,9205081
565156000,9550395
565332000,9754800
565679000,9438274
